stock_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,adj_factor,symbol,stock_name,area,industry,list_date
601398.SH,14.569403,14.640013999999999,14.475255,14.569403,6.2,-0.01,-0.1613,2018400.11,1248696.415,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.569403,14.663551,14.451717999999998,14.475255,6.19,-0.04,-0.6462,2906465.13,1796519.084,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.498792,14.498792,14.357569999999999,14.428180999999999,6.15,-0.02,-0.3252,2417479.89,1480654.067,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.428180999999999,14.616477,14.404644,14.616477,6.13,0.08,1.3051,3385172.03,2090169.39,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.616477,14.781236,14.522329,14.734162,6.21,0.05,0.8052,3572315.31,2228037.037,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.710625,14.898921,14.663551,14.734162,6.26,0.0,0.0,2645283.22,1659231.378,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.734162,14.922457999999999,14.710625,14.875384,6.26,0.06,0.9585,3119630.37,1968098.516,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.828309999999998,14.993069,14.781236,14.875384,6.32,0.0,0.0,3127432.96,1982868.64,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.945994999999998,15.181365,14.898921,15.110754,6.32,0.1,1.5823,4372946.05,2792561.332,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.06368,15.181365,14.828309999999998,14.851847,6.42,-0.11,-1.7134,3870003.36,2461585.21,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.875384,15.110754,14.851847,15.110754,6.31,0.11,1.7433,2901844.74,1851706.028,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.06368,15.181365,14.969532000000001,15.040142999999999,6.42,-0.03,-0.4673,3890984.41,2494595.254,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.040142999999999,15.487345999999999,15.016606,15.369661,6.39,0.14,2.1909,4715725.94,3074595.963,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.346123999999998,15.510883,15.322586999999999,15.322586999999999,6.53,-0.02,-0.3063,3138477.22,2053036.753,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.393198,15.652105,15.369661,15.510883,6.51,0.08,1.2289,3489424.53,2301576.369,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.463809,15.557957,15.251976,15.275513,6.59,-0.1,-1.5175,3615285.11,2360581.313,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.29905,15.557957,15.29905,15.369661,6.49,0.04,0.6163,3765488.42,2467195.131,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.369661,15.911012,15.369661,15.76979,6.53,0.17,2.6034,4871100.27,3253676.275,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.793327,15.981622999999999,15.652105,15.958086,6.7,0.08,1.194,4641473.68,3126875.532,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.934548999999999,16.570048,15.911012,16.334678,6.78,0.16,2.3599,6360901.32,4411842.457,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,16.334678,16.334678,15.981622999999999,16.311141,6.94,-0.01,-0.1441,4872522.64,3343500.772,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,16.216993,16.334678,15.911012,16.287603999999998,6.93,-0.01,-0.1443,5107040.6,3503590.982,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,16.193455999999998,16.4759,16.169919,16.358215,6.92,0.03,0.4335,4823303.17,3342787.449,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,16.334678,16.546511,16.24053,16.287603999999998,6.95,-0.03,-0.4317,5209801.74,3632600.718,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,16.264067,16.428826,15.911012,16.00516,6.92,-0.12,-1.7341,5314824.65,3636887.2,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,16.028696999999998,16.075771,15.581494,15.793327,6.8,-0.09,-1.3235,5210739.86,3493034.297,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.793327,15.958086,15.510883,15.887474999999998,6.71,0.04,0.5961,4742246.52,3180308.148,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,15.887796,16.128156,15.767615999999999,16.080084,6.61,0.08,1.2103,3820217.77,2534162.279,2.4036,601398,工商银行,北京,银行,20061027
601398.SH,16.080084,16.440624,16.032011999999998,16.248336,6.69,0.07,1.0463,3996842.84,2703647.491,2.4036,601398,工商银行,北京,银行,20061027
